Date,POA,PV_Power,RRP
2025-07-01 09:00:00,565.4,2145.12,0.2996
2025-07-01 09:05:00,588.0,2230.87,0.23
2025-07-01 09:10:00,592.0,2246.05,0.3
2025-07-01 09:15:00,596.75,2264.07,0.23
2025-07-01 09:20:00,600.93,2279.93,0.23
2025-07-01 09:25:00,602.74,2286.79,0.2088
2025-07-01 09:30:00,603.52,2289.74,0.229
2025-07-01 09:35:00,605.0,2295.37,0.2075
2025-07-01 09:40:00,607.0,2302.96,0.2
2025-07-01 09:45:00,606.11,2299.59,0.23
2025-07-01 09:50:00,607.0,2302.96,0.23
2025-07-01 09:55:00,604.23,2292.44,0.2133
2025-07-01 10:00:00,602.0,2283.99,0.229
2025-07-01 10:05:00,599.07,2272.86,0.1855
2025-07-01 10:10:00,597.0,2265.02,0.1904
2025-07-01 10:15:00,592.31,2247.22,0.1798
2025-07-01 10:20:00,589.0,2234.67,0.1883
2025-07-01 10:25:00,584.0,2215.7,0.1798
2025-07-01 10:30:00,582.0,2208.11,0.1835
2025-07-01 10:35:00,576.56,2187.46,0.1831
2025-07-01 10:40:00,572.45,2171.86,0.1848
2025-07-01 10:45:00,568.35,2156.3,0.1774
2025-07-01 10:50:00,564.0,2139.82,0.1761
2025-07-01 10:55:00,560.0,2124.64,0.176
2025-07-01 11:00:00,556.0,2109.46,0.1608
2025-07-01 11:05:00,553.0,2098.08,0.176
2025-07-01 11:10:00,548.26,2080.09,0.176
2025-07-01 11:15:00,545.34,2069.02,0.1705
2025-07-01 11:20:00,542.43,2057.99,0.1705
2025-07-01 11:25:00,540.0,2048.76,0.1569
2025-07-01 11:30:00,536.82,2036.68,0.1753
2025-07-01 11:35:00,534.0,2026.0,0.1709
2025-07-01 11:40:00,531.05,2014.82,0.1705
2025-07-01 11:45:00,529.33,2008.26,0.2293
2025-07-01 11:50:00,528.64,2005.65,0.2252
2025-07-01 11:55:00,527.0,1999.44,0.2247
2025-07-01 12:00:00,526.19,1996.36,0.1838
2025-07-01 12:05:00,528.0,2003.23,0.176
2025-07-01 12:10:00,525.0,1991.85,0.191
2025-07-01 12:15:00,530.0,2010.82,0.23
2025-07-01 12:20:00,536.0,2033.58,0.1705
2025-07-01 12:25:00,558.0,2117.05,0.2152
2025-07-01 12:30:00,547.45,2077.02,0.176
2025-07-01 12:35:00,564.57,2142.0,0.1935
2025-07-01 12:40:00,562.06,2132.44,0.2293
