Date,Net_Revenue,Export_Revenue,Charge_Cost,PV_Total,Charge_PV,Charge_Grid,Discharge,Curtail,Max_SOC_kWh,Max_SOC_Percent
2025-07-01,11359.0847022053,11743.7077530076,384.62305080230004,15092.45,5772.94044,1789.4530240000001,4201.5189169999985,0.0,5504.0,100.0
2025-07-02,69110.08103622732,70212.94713882911,1102.86610260179,9340.46,6999.387527,3509.8133119000004,12108.094781,0.0,5504.0,100.0
2025-07-03,2575.70064110644,2605.24411947414,29.5434783677,15684.64,4108.093131,3332.4991010000003,6715.1344213,5994.6957900000025,5504.0,100.0
2025-07-04,819.6781851463,722.3216023942,-97.35658275210001,8565.98,1175.090877,5136.666636,5696.361105999999,6933.279123,5504.0,100.0
2025-07-05,879.4763808655,779.7514012816,-99.72497958390001,1346.79,1151.86,6687.229997,3602.0347979999997,9.399999999999743,5504.0,100.0
2025-07-06,1452.1803113618998,1430.4964857402,-21.683825621700002,17589.88,7574.686229,3269.5450960000003,10553.529286399998,4667.6137651,5504.0,100.0
2025-07-07,1909.27204281318,1986.88158135608,77.6095385429,10029.43,5908.149475,3796.684659,11464.746012399999,34.56999999999943,5504.0,100.0
2025-07-08,809.4680510067001,663.1679685468,-146.3000824599,11769.99,216.36087719,5862.499965,4844.038538,11492.109123,5504.0,100.0
2025-07-09,363.6806415613,655.956611148,292.27596958670006,4529.75,3468.03,4513.1899730000005,2799.851017,0.0,5504.0,100.0
2025-07-10,1999.2144268897,1860.530011051,-138.6844158387,14031.61,2059.5042335,4656.807219,9721.71474,10514.852437,5504.0,100.0
2025-07-11,1593.2990203440002,1727.1875093788,133.88848903480002,11069.99,7383.854974,3479.1766763,7675.4135006999995,7.1566667,5504.0,100.0
2025-07-12,2933.58160393639,2966.38737204499,32.805768108600006,14616.85,6360.213151,3037.7913550000003,11995.261053,1309.685522,5504.0,100.0
2025-07-13,368.7240070798,232.65817455880003,-136.065832521,11000.08,19.71,6029.999964000001,1117.8312600000002,10958.24,5504.0,100.0
2025-07-14,2833.3491713113,3185.3864993916,352.03732808030003,10586.82,6116.567448,3503.4999780000003,9363.185302,0.0,5504.0,100.0
2025-07-15,2973.46167856158,3223.73551620859,250.27383764701,15856.36,7958.182816,2268.2399845,11743.637252999999,0.0,5504.0,100.0
2025-07-16,3059.46291389693,3246.6217237978,187.15880990087,18217.67,8399.896768,2274.0873181,10779.937221999999,0.0,5504.0,100.0
2025-07-17,1311.176252803148,1437.762719965888,126.58646716274,14829.34,8948.192430000001,2723.2076476,5992.638539999999,0.0,5504.0,100.0
2025-07-18,3801.847678853663,3835.9653904652,34.117711611537,18598.71,6577.75809,857.98938549,11251.561972,0.0,5504.0,100.0
2025-07-19,681.5445028222,613.8298365598,-67.71466626240002,7216.01,657.707544,5639.166633000001,3435.462271,6165.562456,5504.0,100.0
2025-07-20,1705.24283806231,1733.995795879,28.752957816690003,16532.72,7526.621666,1986.9955148000001,10604.172732999998,174.646667,5504.0,100.0
2025-07-21,738.47719769525,414.2883575222,-324.18884017305004,18449.84,379.3365,5983.1389209,3100.046523,17502.3491228,5504.0,100.0
2025-07-22,655.2492911802,493.9412088099,-161.3080823703,11645.41,1021.3842099999999,5415.833301000001,3910.876315,9901.8457895,5504.0,100.0
2025-07-23,3030.18685990849,3066.46005139379,36.2731914853,17038.58,8239.18229,1987.6822743,13999.8784953,344.9966667,5504.0,100.0
2025-07-24,1493.1031550779,1496.994738388,3.891583310099996,12507.5,2893.344211,5415.833301000001,6834.05618,8479.315789,5504.0,100.0
2025-07-25,353.26211483649996,497.9318639728,144.6697491363,1181.05,807.71,3908.3333100000004,3208.981986,7.280000000000003,1913.1403,34.75908975290698
2025-07-26,1666.9081712993,1624.8047038725,-42.1034674268,10387.85,5357.523045,3722.024476,9906.515077,813.180166,5504.0,100.0
2025-07-27,225.8622808655,136.9811980628,-88.8810828027,10119.04,4728.341155,4745.833305,3321.642457,2747.755789,5504.0,100.0
2025-07-28,4446.911636435918,4757.17518608754,310.26354965162204,12996.17,8726.3386709,2946.45331183,14846.161254499999,26.0,5504.0,100.0
2025-07-29,2936.3459819063,3396.4453048018,460.09932289550005,8004.59,4633.76,3262.0334153000003,8043.286797,0.0,5504.0,100.0
2025-07-30,3368.51156434215,3534.995265622743,166.483701280593,17596.15,9203.81608,1763.2660767300001,9439.124913,0.0,5504.0,100.0
2025-07-31,499.2043593752,506.9093593292,7.704999954000001,2117.23,343.56327,55.833333,819.12209,0.0,482.80702,8.771929869186048
